module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
Strategic Networks in Industry,12-M-SM-161-m01,"Holder of the Chair of Business Management and Marke-
ting",Faculty of Business Management and Economics,5,numerical grade,,,,,"The primary object of this course is to gain a detailed understanding of strategic networks and of the phenome-
non of clustering in the industrial industry. The example of the international automotive industry is used for clari-
fication of the theoretical contents.
The focus is on marketing in industrial companies and also on CSR - CSR is considered the ""driver"" of sustaina-
ble innovations - as well as the different strategy types of sustainable innovations.
Outline of syllabus:
1. Strategic networks and clusters in industrial industries such as the automotive industry
2. Transaction types of Williamson as well as strategic cooperation between automobile manufacturers and sup-
pliers
3. Management of business types, in particular the business of suppliers in the automotive industry
4. Cluster and entrepreneurship activities
5. Sustainable innovation strategies","By the end of the course, students gain a profound understanding above the basics of network research. Further-
more students will aquire sectoral knowledge of the automotive industry as well as detailed cluster skills.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)



Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)",--
Strategic Marketing,12-M-BE-192-m01,"Holder of the Chair of Business Management and Marke-
ting",Faculty of Business Management and Economics,5,numerical grade,,,,,"Description:
The module raises awareness in students of the relevance and necessity of strategic management in a competiti-
ve and dynamical competitive process.
Content:
Based on the marketing strategies as well as the stakeholder and entrepreneurship approaches, this module 
discusses the roots of the concept of strategy in marketing based on Drucker, Porter, Ansoff and Mintzberg. The 
focus of the module is on thinking in competitive advantages, which is directly related to responsible leadership.
Outline of syllabus:
1. Competitive dynamics requires strategy and leadership
2. Marketing strategies, stakeholder management and entrepreneurship
3. Objectives and tasks of corporate governance in management practice
4. Competitive forces, strategies and benefits according to Michael Porter
5. Growth strategies and marketing myths
6. Future technologies, new businesses and dynamic capabilities
7. Nature and principles of responsible management
Reading:
Barnard, CI (1938): The Functions of the Executive, Harvard University Press, Cambridge, Massachusetts.
Eschenbach, R.; Eschenbach, S.; Kunesch, H. (2008): Strategische Konzepte: Management-Ansätze von Ansoff 
bis Ulrich, 5th ed., Schäffer-Poeschel Stuttgart.
Freeman, RE (2010): Strategic Management: A Stakeholder Approach, Cambridge University Press.
Grant, R. M.; Nippa, M. (2006): Strategisches Management: Analyse, Entwicklung und Implementierung von Un-
ternehmensstrategien, 5th ed., Pearson Munich.
Hinterhuber, H. H. (2011): Strategische Unternehmensführung -- I. Strategisches Denken, 8th ed., Erich Schmidt 
Verlag, Berlin.
Hungenberg, H. (2012): Strategisches Management in Unternehmen: Ziele -- Prozesse -- Verfahren, 7th ed., 
Gabler, Wiesbaden.
Johnson, G.; Scholes, K.; Whittington, R. (2009): Fundamentals of Strategy, 1st ed., Financial Times and Prentice 
Hall Harlow.
Kotler, P.; Berger, R.; Bickhoff, N. (2010): The Quintessence of Strategic Management, Springer, Heidelberg.
Laasch, O.; Conaway RN (2014): The Principles of Responsible Management: Global Sustainability, Responsibili-
ty, and Ethics, Cengage Stamford.
Meffert, H.; Burmannn, C.; Kirchgeorg, M. (2012): Marketing -- Grundlagen marktorientierter Unternehmensfüh-
rung, 11th ed., Gabler, Wiesbaden.
Meyer, M. (1995): Ökonomische Organisation der Industrie: Netzwerkarrangements zwischen Markt und Unter-
nehmung, Gabler, Wiesbaden.
Müller-Stewens, G.; Lechner, C. (2011): Strategisches Management -- Wie strategische Initiativen zum Wandel 
führen, 4th ed., Schäffer-Poeschel Stuttgart.
Porter, M. (1999): Wettbewerb und Strategie, Econ Munich. (Original: Porter, M.: On Competition, Boston, 1998.)
Porter, M. (2014): Wettbewerbsvorteile -- Spitzenleistungen erreichen und behaupten, 8th ed., Campus Frank-
furt / New York. (Original: Porter, M.: Competitive Advantage, New York, 1985)



 
 
 
Porter, M. (2013): Wettbewerbsstrategie -- Methoden zur Analyse von Branchen und Konkurrenten, 12th ed., 
Campus, Frankfurt / New York. (Original: Porter, M.: Competitive Strategy, New York, 1980)
Welge, M. K.; Al-Laham, A. (2012): Strategisches Management: Grundlagen -- Prozesse -- Implementierung, 6th 
ed., Springer Wiesbaden.","The students have a deeper understanding of the sustainable corporate management and have the basics of the 
competitive process and competitive dynamics available. In addition, they can use the acquired knowledge, whi-
le taking into account the conventional problems of the strategic and sustainable management, to solve busi-
ness case studys on their own.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Industrial Management 4,12-M-LA-182-m01,"Holder of the Chair of Business Management and Industrial 
Management",Faculty of Business Management and Economics,5,numerical grade,,,,,"This course will develop the objectives, principles and structure of electronically supported procurement proces-
ses with a special focus on catalogue-based procurement systems, electronic tendering systems, electronic (re-
verse) auctions, e-marketplaces, supplier relationship management systems and eSupply chain management sy-
stems.","The students will be able to describe and evaluate both the potentials and goals of electronic supported pro-
curement systens and will be able to design appropriate systems for real-life applications. Students will get in-
sight into the essentials of operational procurement management, especially e-procurement with a focus on ca-
talog-based procurement systems, electronic tendering systems, electronic (reverse) auctions, e-marketplaces, 
supplier relationship management systems and eSupply chain management systems. After completing this mo-
dule, students can define and analyze the related tasks and processes and show or develop theory-based and 
application-oriented possible solutions at a high professional level.",V (2) + Ü (2),,"20 places.
(1) A total of 15 places will be allocated to students of the Master's degree programmes Management as well as 
International Economic Policy.
Should the number of applications exceed 15, these places will be allocated by lot. A waiting list will be maintai-
ned and places re-allocated by lot as they become available.
Should the number of applications exceed 5, these places will be allocated by lot. A waiting list will be maintai-
ned and places re-allocated by lot as they become available.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)","Module can be taught in form of E Learning course, seminar, workshop etc."
Industrial Management 2,12-M-SBM-182-m01,"Holder of the Chair of Business Management and Industrial 
Management",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module analyses and classifies approaches of production planning and control. In addition, it develops 
methods and models of lot sizing and scheduling. The focus is on the determination of optimal production and 
transport volumes as well as the planning of orders and manufacturing orders.","Students learn essential concepts, principles and methods of production planning and control with emphasis on 
the determination of optimal production and transport volumes as well as the planning of production and order 
sequences. Then, based on this expertise related knowledge broadening and deepening, essential competen-
cies are conveyed, which allow the imaging of realistic situations and problems using mathematical and quanti-
tative models for the derivation and assessment of alternative courses of action. After completion of the modu-
le students can answer, analyze and structure questions of production planning and control, goal-oriented. They 
can also arrange the planning areas in the overall business context and have an in-depth overview of the produc-
tion planning and control.","V (2) + Ü (2)
Course type: might also be offered as eLearning, seminary, workshop, etc.",,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018)



Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Industrial Management 1,12-M-SPM-182-m01,"Holder of the Chair of Business Management and Industrial 
Management",Faculty of Business Management and Economics,5,numerical grade,,,,,"The course addresses central issues of strategic supply management. The supply function of the company 
(purchasing, materials management, procurement logistics) and its strategic importance is analysed and basic 
methods are developed that are relevant in this area.","Students learn the principles of performance-oriented optimization of all procurement activities to develop long-
term, competitively sensitive potential for success. After completion of the module students are able to prepa-
re structured, to goal-oriented analyze and to respond to performance-oriented issues of strategic procurement 
based on key instruments. Students are able to accurately classify the tasks of the procurement and to describe 
and discuss their strategic importance and dominate essential methods and procedures used in this area to ap-
ply.","V (2) + Ü (2)
Course type: might also be offered as eLearning, seminary, workshop, etc.",,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)



Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Industrial Management 3,12-M-RM1-161-m01,"Holder of the Chair of Business Management and Industrial 
Management",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module will discuss contents and procedures of strategic production management and, in particular, plan-
ning and control concepts.
Students will become familiar with the essentials of strategic production management. Theoretical and analyti-
cal models will be used for analysing both economic and ecological issues. In addition, the module will discuss 
principles of value structure optimisation and will develop competences regarding the development of integra-
ted mathematical models.","After completion of the module students are able to process, to analyze and answer questions of operations 
strategy structured and goal-oriented in a global context using appropriate methods. Furthermore, they know 
the main strategic tasks and objectives in production management and evaluate and apply planning and control 
concepts for the production in realistic application situations.","V (2) + Ü (2)
Course type: might also be offered as eLearning, seminary, workshop, etc.",,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)



Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Legal Foundations of Risk Management and Compliance,12-M-UA-161-m01,Holder of the Chair of Financial Accounting,Faculty of Business Management and Economics,2,numerical grade,,,,,"Content: This module analyses the presentation of opportunities and risks in financial reports, i. e. annual or in-
terim reports, in conjunction with selected value-based management and profitability analysis approaches.
Outline of syllabus:
1. Basics of financial reporting and risk management;
2. Practice of risk reporting;
3. Profitability analysis according to Penman;
4. Value-based management and risk management;
5. Residual income and business valuation;
6. Analysis of equity risk;
7. Analysis of credit risk;
8. Risk management monitoring by audit committees and auditors.
Reading list to be provided in class.","After completing the course, the students will be able
1. to present the relation between risk management and financial reporting;
2. to analyze and solve independently complex problems with respect to the presentation of opportunities and 
risk in financial reports based on national and international standards;
3. to identify the relation between risks and value-based management;
4. to evaluate independently selected research results concerning risk reporting and desing own research- or 
practice-oriented projects.",V (2),,"30 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,60 h,--,--,"Master's degree (1 major) Business Management (2015)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)",--
Financial Statement Analysis and Business Valuation,,Holder of the Chair of Financial Accounting,,5,numerical grade,,,,,"Fundamental investing involves valuation, and much of the information for valuation is contained in financial 
statements. This module provides a basic understanding of financial statement analysis, particularly on how to 
extract value-relevant information from financial statements, carry out financial statement analysis, and use fi-
nancial data to value corporations. The module also provides the necessary tools to gain insights into what ge-
nerates value in a corporation.","Students can understand publicly traded companies' financial statements (US GAAP/IFRS), identify value-rele-
vant information in financial statements, and use this information for valuation. They know the relevant techni-
ques to evaluate financial statements and understand the fundamental role of financial information in the valua-
tion process. Students can apply valuation technics to real-world cases and recommend investment decisions.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)



Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
"Philosophy of Science and Ethics in Business Management and Economics
Module offered by",12-RM-KS-161-m01,"Holder of the Chair of Financial Accounting
Faculty of Business Management and Economics","Module coordinator
Holder of the Chair of Financial Accounting
Faculty of Business Management and Economics
ECTS Method of grading
numerical grade
10
Module level
Duration
1 semester
graduate
Contents
This module will take the form of a seminar. Participants will independently work on a problem in economic poli-
cy or will review an important publication on a topic in economics.
Intended learning outcomes
Students are able to present the status of a current project in a talk as well as to discuss and defend it.
Courses (type, number of weekly contact hours, language — if other than German)
S (2)
Method of assessment (type, scope, language — if other than German, examination offered — if not every semester, information on whether 
module is creditable for bonus)
term paper (approx. 20 to 25 pages) and presentation (approx. 20 minutes), weighted 2:1
Assessment offered: In the semester in which the course is offered
Language of assessment: German and/or English
creditable for bonus
Allocation of places
20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.
Additional information
--
Workload
300 h
Teaching cycle
--
Referred to in LPO I  (examination regulations for teaching-degree programmes)
--
Module appears in
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)




Abbreviation
12-RM-KS-161-m01

Module offered by
Faculty of Business Management and Economics",10,numerical grade,,,,,"This module will take the form of a seminar. Participants will independently work on a problem in economic poli-
cy or will review an important publication on a topic in economics.",Students are able to present the status of a current project in a talk as well as to discuss and defend it.,S (2),,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,300 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)",--
Risk Management - Concepts and Systems,12-M-CF1-182-m01,"holder of the Chair of Business Management and Accoun-
ting",Faculty of Business Management and Economics,5,numerical grade,,,,,"Concepts: The course will provide students with an overview of the main goals, contents, methods and instru-
ments of opportunity and risk management in industrial and commercial enterprises. Systems: The course will 
provide students with an overview of the design and functionality of essential information systems for risk mana-
gement.","Concepts: After completion of the module students have a sound understanding of basic concepts, processes, 
methods and tools of risk management. They are able to justify the duties and functions of risk management in 
the company in theory and practice. They can also evaluate proposed solutions for the design of a risk manage-
ment system, analyze selected issues of risk management and building on that, develop their own solutions. Sy-
stems: After completing this module, students can
(i) judge legal, organizational and methodological requirements for the implementation of risk management pro-
cesses in a risk management information system (RMIS);
(ii) understand the technical basis for RMIS;
(iii) estimate the different characteristics of various information systems for the RM;
(iv) understand the workings of RMIS.",V (2),,"25 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Discounted Cashflow,12-M-CF2-182-m01,Holder of the Chair of Corporate Finance,Faculty of Business Management and Economics,5,numerical grade,,,,,"The module covers discounted cash flow (DCF) methods under certainty as well as uncertainty in the context of 
the valuation of unlevered and levered companies. Furthermore, tax aspects as well as their influence on the 
company value are considered.
Syllabus:
1. Introduction
2. DCF Theory under certainty
1. NPV without taxes
2. NPV with personal taxes
3. NPV with corporate taxes
3. DCF Theory under uncertainty
1. DCF basics
2. Valuation of unlevered companies
3. Valuation of levered companies
4. Practice of DCF methods","After completion of this module, the students will know a variety of discounted cashflow techniques and are able 
to apply properly them in order to evaluate projects or firms.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018)



Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)",--
Portfolio and Capital Market Theory,12-M-CF3-182-m01,Holder of the Chair of Corporate Finance,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module conveys profound knowledge of individual portfolio choices and on this basis the most important 
capital market theory (namely capital asset pricing model) is introduced, including its assumptions, implications 
and extensions.
Syllabus:
1. Modern Portfolio Selection
1. 2 Asset-Case
2. Multiple-Asset-Case
3. Critique of Portfolio Theory
2. Capital Asset Pricing Model
1. Assumptions and Derivation
2. Implications
3. Empirical Aspects, Extensions and Alternatives","This module enables the students
(i) to explain and to determine the optimal capital market position of an investor given the different investment 
opportunities and individual utility function;
(ii) to understand and use the central CAPM propositions for valuating risky assets.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Risk Management and Corporate Finance,,Holder of the Chair of Corporate Finance,,5,numerical grade,,,,,"This module deals with the valuation and use of classical derivatives in financial markets. In particular, futures, 
swaps and options are considered as well as their possible applications in the context of financial risk manage-
ment. In particular, students will be introduced to the theory involved in pricing options, as well as important va-
luation parameters. In addition, some established risk measures such as value-at-risk are discussed.
1. Introduction
2. Futures & Forwards
3. Swaps
4. Options
5. Measures of risk","Upon completion of this module students will be able to,
(i) independently determine the fair value of the derivatives discussed, as well as
(ii) to understand and evaluate common capital market hedging strategies.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)



Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)",--
"Risk measurement and risk valuation: Concepts and applications for banks
Module offered by",12-M-SP-161-m01,"Holder of the Chair of Corporate Finance
Faculty of Business Management and Economics","Module coordinator
Holder of the Chair of Corporate Finance
Faculty of Business Management and Economics
ECTS Method of grading
numerical grade
5
Module level
Duration
1 semester
graduate
Contents
The course augments the usual consideration of symmetric risk metrics by introducing metrics for downside risks 
and the concept of risk as a capital requirement. The focus for applications in banks lies in the treatment of risks 
with regard of supervisory regulations.
Intended learning outcomes
After completing the course “Risk measurement and risk valuation: Concepts and applications for banks” the 
students are able
1. to judge the appropriateness and problems of asymmetric risk measures,
2. to address essential risks in banks and to understand their handling by supervisory regulations as well as
3. to realize the concept of risk as a capital requirement being the systematic base for these aspects in the ban-
king sector.
Courses (type, number of weekly contact hours, language — if other than German)
V (2) + Ü (2)
Method of assessment (type, scope, language — if other than German, examination offered — if not every semester, information on whether 
module is creditable for bonus)
a) written examination (approx. 60 minutes) or b) term paper (approx. 15 pages)
Language of assessment: German and/or English
creditable for bonus
Allocation of places
--
Additional information
--
Workload
150 h
Teaching cycle
--
Referred to in LPO I  (examination regulations for teaching-degree programmes)
--
Module appears in
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)



Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)





Abbreviation
12-M-SP-161-m01

Module offered by
Faculty of Business Management and Economics",5,numerical grade,,,,,"The course augments the usual consideration of symmetric risk metrics by introducing metrics for downside risks 
and the concept of risk as a capital requirement. The focus for applications in banks lies in the treatment of risks 
with regard of supervisory regulations.","After completing the course “Risk measurement and risk valuation: Concepts and applications for banks” the 
students are able
1. to judge the appropriateness and problems of asymmetric risk measures,
2. to address essential risks in banks and to understand their handling by supervisory regulations as well as
3. to realize the concept of risk as a capital requirement being the systematic base for these aspects in the ban-
king sector.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)



Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)",--
Economics of Tax Planning,12-M-STB-161-m01,Holder of the Chair of Business Taxation,Faculty of Business Management and Economics,5,numerical grade,,,,,"This course deals with tax effects on fundamental economic decisions. Taxes are integrated into standard mo-
dels for investment decisions, financing decisions, firm valuation, dividend policy and remuneration of employ-
ees. Therefore, the interaction of corporate and personal income taxes is analysed.
A reading list in English is available on request.","This course enables students to
(i) combine their knowledge of tax law with microeconomic analyses in the areas of corporate and personal fi-
nance;
(ii) analyze the effect of taxes on fundamental economic decisions, e.g. investment and financing decisions, eva-
luation of investment, financial assets, forms of remuneration for employees including managing and assessing;
(iii) read and discuss research and policy papers in the field of taxation.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)



Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) International Economic Policy (2022)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Tax Accounting,12-M-AO-182-m01,Holder of the Chair of Business Taxation,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module introduces the various methods of income recognition in the German Income Tax Code (Einkommen-
steuergesetz, EStG). It discusses the main reporting and valuation provisions as well as the specific problems 
and techniques of income calculation for partnerships.","Students have in-depth knowledge of tax accounting of companies and are able to solve moderate to complex 
problems of tax accounting in particular of sole proprietorships and partnerships using legal source.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)



Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)",--
Incentives in Organizations,12-M-HRM-192-m01,"Holder of the Chair of Human Resource Management and 
Organisation",Faculty of Business Management and Economics,5,numerical grade,,,,,"Based on the classical principal-agent theory, this course discusses methodological and empirical aspects of in-
centives in organisations. It uses contents from advanced text books and original (mainly empirical) research ar-
ticles.
Outline of syllabus
1. Principal-agent theory
2. Do top managers earn too much? (application)
3. Performance-based payment
4. Implementation of performance-based payment in companies (application)
5. Seniority payment (with application)
6. Financial incentives to work after retirement (with application)
7. Efficiency wages (with case study)
8. Team incentives (with case study)","Students acquire a working knowledge of key incentive models models, selected empirical applications and the 
necessary econometric background. This enables them to identify the advantages and disadvantages of different 
incentive systems that are applied in the enterprise context, to make informed management analyses and to cri-
tically evaluate current controversies and developments as well as to conduct their own research.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018)
Master's degree (1 major) International Economic Policy (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
exchange program Business Management and Economics (2022)",--
